YearQuarter	Year	Quarter	Mortgage	HERevolving	AutoLoan	CreditCard	StudentLoan	Other	Total	NominalGDP
03:Q4	2003	Q4	5.66	0.30	0.70	0.70	0.25	0.45	8.07	11.46 
04:Q4	2004	Q4	6.36	0.47	0.73	0.72	0.35	0.42	9.04	12.21 
05:Q4	2005	Q4	7.10	0.57	0.79	0.74	0.39	0.42	10.00	13.04 
06:Q4	2006	Q4	8.23	0.60	0.82	0.77	0.48	0.41	11.31	13.82 
07:Q4	2007	Q4	9.10	0.65	0.82	0.84	0.55	0.42	12.37	14.45 
08:Q4	2008	Q4	9.26	0.71	0.79	0.87	0.64	0.41	12.67	14.71 
09:Q4	2009	Q4	8.84	0.71	0.72	0.80	0.72	0.38	12.17	14.45 
10:Q4	2010	Q4	8.45	0.67	0.71	0.73	0.81	0.34	11.71	14.99 
11:Q4	2011	Q4	8.27	0.63	0.73	0.70	0.87	0.33	11.54	15.54 
12:Q4	2012	Q4	8.03	0.56	0.78	0.68	0.97	0.32	11.34	16.20 
13:Q4	2013	Q4	8.05	0.53	0.86	0.68	1.08	0.32	11.52	16.79 
14:Q4	2014	Q4	8.17	0.51	0.96	0.70	1.16	0.34	11.83	17.53 
15:Q4	2015	Q4	8.25	0.49	1.06	0.73	1.23	0.35	12.12	18.23 
16:Q4	2016	Q4	8.48	0.47	1.16	0.78	1.31	0.38	12.58	18.72 
17:Q4	2017	Q4	8.88	0.44	1.22	0.83	1.38	0.39	13.15	19.52 
18:Q4	2018	Q4	9.12	0.41	1.27	0.87	1.46	0.41	13.54	20.58 
19:Q4	2019	Q4	9.56	0.39	1.33	0.93	1.51	0.43	14.15	21.43 
