YearQuarter	Year	Quarter	Period	Auto	CreditCard	Mortgage	HomeEquity	StudentLoan	Other	All
04:Q1	2004	Q1	Normal	1.97	7.77	1.34	0.41	5.77	4.98	2.27
04:Q2	2004	Q2	Normal	1.82	7.34	1.29	0.36	5.4	5.16	2.15
04:Q3	2004	Q3	Normal	1.77	7.14	1.34	0.35	5.59	4.96	2.13
04:Q4	2004	Q4	Normal	1.78	7	1.36	0.29	6.09	4.8	2.11
05:Q1	2005	Q1	Normal	1.69	6.64	1.36	0.4	6.81	4.43	2.07
05:Q2	2005	Q2	Normal	1.68	6.36	1.37	0.43	6.83	4.11	2.03
05:Q3	2005	Q3	Normal	1.66	6.27	1.31	0.43	7.17	4.25	1.99
05:Q4	2005	Q4	Normal	1.67	5.79	1.27	0.38	6.7	4.21	1.9
06:Q1	2006	Q1	Normal	1.66	5.51	1.32	0.31	6.68	4.15	1.89
06:Q2	2006	Q2	Normal	1.79	5.61	1.31	0.48	7.12	4	1.92
06:Q3	2006	Q3	Normal	2.02	5.59	1.46	0.66	7.35	3.82	2.05
06:Q4	2006	Q4	Normal	2.22	5.83	1.68	0.79	7.88	3.55	2.25
07:Q1	2007	Q1	Normal	2.34	6.18	1.94	0.98	8.05	3.59	2.49
07:Q2	2007	Q2	Crisis 	2.36	6.36	2.4	0.99	8.11	3.93	2.85
07:Q3	2007	Q3	Crisis 	2.34	6.52	2.89	1.45	7.71	4.12	3.24
07:Q4	2007	Q4	Crisis 	2.44	6.75	3.68	1.82	7.85	4.61	3.89
08:Q1	2008	Q1	Crisis 	2.71	7.27	4.71	2.41	7.72	5.07	4.75
08:Q2	2008	Q2	Crisis 	2.85	7.66	5.32	2.98	7.32	5.19	5.26
08:Q3	2008	Q3	Crisis 	3.15	8.13	6.04	3.35	7.57	6.34	5.91
08:Q4	2008	Q4	Crisis 	3.29	8.7	6.65	4.15	7.38	7.06	6.47
09:Q1	2009	Q1	Crisis 	3.36	9.56	7.39	4.74	7.32	7.65	7.12
09:Q2	2009	Q2	Crisis 	3.48	10.2	8.26	4.98	7.61	8.08	7.85
09:Q3	2009	Q3	Crisis 	3.34	10.51	8.35	5.05	7.65	7.77	7.93
09:Q4	2009	Q4	Crisis 	3.24	10.96	8.3	4.54	7.93	7.72	7.9
10:Q1	2010	Q1	Post-Crisis 	3.1	10.8	7.7	3.96	8.2	7.5	7.41
10:Q2	2010	Q2	Post-Crisis 	2.85	10.63	6.95	3.78	8.63	7.3	6.85
10:Q3	2010	Q3	Post-Crisis 	2.55	10.23	6.49	3.26	8.69	6.88	6.43
10:Q4	2010	Q4	Post-Crisis 	2.31	9.21	5.84	3.12	8.46	6.51	5.84
11:Q1	2011	Q1	Post-Crisis 	2.03	7.99	5.29	3	8.49	5.91	5.34
