Year	Quarter	Year_Quarter	LoanDQPercentGT90Days	UnemploymentRate	GDPGrowth	ConsumerConfidence	BusinessConfidence
2003	Q1	2003-Q1	2.57	5.866667	2.0284	99.3804	98.8938
2003	Q2	2003-Q2	2.49	6.133333	3.30181	100.3831	99.4515
2003	Q3	2003-Q3	2.39	6.133333	4.32636	100.2624	100.5237
2003	Q4	2003-Q4	2.35	5.833333	4.30456	100.995	101.8627
2004	Q1	2004-Q1	2.31	5.7	4.20302	100.993	102.0055
2004	Q2	2004-Q2	2.22	5.6	3.43159	100.8831	101.8188
2004	Q3	2004-Q3	2.24	5.433333	3.28179	100.8514	101.0671
2004	Q4	2004-Q4	2.26	5.433333	3.87068	100.9605	100.8594
2005	Q1	2005-Q1	2.21	5.3	3.56089	100.5665	100.3273
2005	Q2	2005-Q2	2.02	5.1	3.5055	100.6943	100.1434
2005	Q3	2005-Q3	2.02	4.966667	3.12611	99.3111	100.7821
2005	Q4	2005-Q4	1.97	4.966667	3.35389	100.0306	100.6016
2006	Q1	2006-Q1	1.95	4.733333	3.11947	100.1097	100.3324
2006	Q2	2006-Q2	1.91	4.633333	2.3665	99.5635	100.0599
2006	Q3	2006-Q3	2.11	4.633333	2.5907	100.0066	99.7473
2006	Q4	2006-Q4	2.33	4.433333	1.48229	100.7615	99.4167
2007	Q1	2007-Q1	2.50	4.5	1.82569	100.3055	99.6361
2007	Q2	2007-Q2	2.66	4.5	2.22081	100.0346	99.9339
2007	Q3	2007-Q3	3.06	4.666667	1.97348	99.5349	99.4861
2007	Q4	2007-Q4	3.62	4.8	1.14924	98.7977	99.1964
2008	Q1	2008-Q1	4.41	5	1.09243	97.7935	99.0712
2008	Q2	2008-Q2	4.64	5.333333	0.00188	96.7814	99.3695
2008	Q3	2008-Q3	5.11	6	-2.75308	97.3102	98.0432
2008	Q4	2008-Q4	5.89	6.866667	-3.28907	96.702	96.0233
2009	Q1	2009-Q1	7.05	8.266666	-3.92445	96.8825	96.6492
2009	Q2	2009-Q2	7.80	9.3	-3.04978	97.8615	98.4785
2009	Q3	2009-Q3	8.02	9.633333	0.18287	98.0353	99.9805
2009	Q4	2009-Q4	8.54	9.933333	1.71025	98.2499	100.5387
2010	Q1	2010-Q1	8.71	9.833333	2.79607	98.4601	101.2711
2010	Q2	2010-Q2	8.35	9.633333	3.17821	98.3453	100.6192
2010	Q3	2010-Q3	7.95	9.466666	2.56945	97.8447	100.5232
2010	Q4	2010-Q4	7.83	9.5	1.93063	98.4412	101.1627
2011	Q1	2011-Q1	7.69	9.033334	1.7215	98.2599	101.2558
2011	Q2	2011-Q2	7.24	9.066667	0.94904	97.8849	100.3561
2011	Q3	2011-Q3	7.14	9	1.60935	96.7675	99.7925
2011	Q4	2011-Q4	7.14	8.633333	2.65176	97.9668	99.8346
2012	Q1	2012-Q1	6.96	8.266666	2.36151	98.8032	100.1241
2012	Q2	2012-Q2	6.71	8.2	2.52812	98.5795	99.6422
2012	Q3	2012-Q3	6.55	8.033334	1.46857	98.9903	99.4697
2012	Q4	2012-Q4	6.31	7.8	1.57195	98.7983	99.4941
2013	Q1	2013-Q1	6.07	7.733333	1.26165	98.9386	99.8128
2013	Q2	2013-Q2	5.70	7.533333	1.91742	99.6584	99.7928
2013	Q3	2013-Q3	5.31	7.233333	2.61412	98.9641	100.4864
2013	Q4	2013-Q4	5.03	6.933333	1.42572	99.1314	100.3661
2014	Q1	2014-Q1	4.77	6.666667	2.67201	99.4046	100.3457
2014	Q2	2014-Q2	4.49	6.2	3.11773	99.4374	100.5345
2014	Q3	2014-Q3	4.33	6.066667	2.87685	99.7263	100.7787
2014	Q4	2014-Q4	4.30	5.7	3.9782	100.7495	100.4529
2015	Q1	2015-Q1	4.25	5.533333	3.35003	100.9177	99.8561
2015	Q2	2015-Q2	3.98	5.433333	2.44103	100.798	99.8676
2015	Q3	2015-Q3	3.79	5.1	1.90085	100.3282	99.3465
2015	Q4	2015-Q4	3.69	5.033333	1.61631	100.5684	98.9601
2016	Q1	2016-Q1	3.60	4.933333	1.34294	100.505	99.4837
2016	Q2	2016-Q2	3.34	4.9	1.55671	100.6261	99.785
2016	Q3	2016-Q3	3.28	4.9	2.03407	100.3572	99.5919
2016	Q4	2016-Q4	3.30	4.766667	2.09842	101.0927	100.3247
2017	Q1	2017-Q1	3.37	4.566667	2.16351	101.1969	100.7032
2017	Q2	2017-Q2	3.26	4.366667	2.41603	100.9826	100.7204
2017	Q3	2017-Q3	3.19	4.3	2.79526	101.1569	101.2932
2017	Q4	2017-Q4	3.12	4.133333	2.86187	101.2034	101.2877
2018	Q1	2018-Q1	3.11	4.066667	3.20229	101.488	101.2451
2018	Q2	2018-Q2	3.04	3.933333	3.13354	101.2995	101.2742
2018	Q3	2018-Q3	3.09	3.766667	2.5165	101.3606	101.3417
2018	Q4	2018-Q4	3.10	3.8	2.65224	101.073	100.6474
2019	Q1	2019-Q1	3.06	3.866667	2.27832	101.1387	100.2255
2019	Q2	2019-Q2	2.94	3.633333	2.07333	101.2872	99.6525
2019	Q3	2019-Q3	3.04	3.633333	2.33407	100.7741	98.9851
2019	Q4	2019-Q4	3.15	3.533333	0.32015	101.4869	99.0781
2020	Q1	2020-Q1	3.17	3.833333	#N/A	100.0778	98.766
