Year_Quarter	Year	Quarter	Mortgage_620_LS	Mortgage_620_659	Mortgage_660_719	Mortgage_720_759	Mortgage_760_GT
03:Q1	2003	Q1	72.19	68.12	188.33	336.10	304.24
03:Q2	2003	Q2	71.41	70.53	203.73	352.85	316.03
03:Q3	2003	Q3	78.15	81.23	215.70	363.92	324.71
03:Q4	2003	Q4	90.06	86.37	212.36	349.56	289.70
04:Q1	2004	Q1	79.29	63.47	150.00	213.45	150.59
04:Q2	2004	Q2	87.96	69.76	169.62	216.33	167.23
04:Q3	2004	Q3	96.66	75.56	175.58	246.98	192.05
04:Q4	2004	Q4	88.88	67.39	158.89	209.93	146.26
05:Q1	2005	Q1	84.55	55.66	150.98	199.03	168.98
05:Q2	2005	Q2	87.04	65.68	140.88	184.27	154.66
05:Q3	2005	Q3	83.95	73.64	184.63	228.94	190.71
05:Q4	2005	Q4	87.04	77.70	184.83	238.86	211.56
06:Q1	2006	Q1	87.61	66.00	145.72	213.19	162.82
06:Q2	2006	Q2	100.21	73.55	172.34	220.40	162.52
06:Q3	2006	Q3	95.41	78.59	165.51	203.81	176.54
06:Q4	2006	Q4	92.82	70.42	137.70	191.52	149.43
07:Q1	2007	Q1	114.58	77.91	169.93	209.97	179.30
07:Q2	2007	Q2	83.17	64.61	130.47	192.46	177.39
07:Q3	2007	Q3	81.25	63.57	146.41	212.07	198.64
07:Q4	2007	Q4	53.46	44.72	105.11	148.91	162.35
08:Q1	2008	Q1	45.92	39.67	88.48	139.96	139.13
08:Q2	2008	Q2	45.04	42.48	98.24	157.14	214.97
08:Q3	2008	Q3	34.78	28.42	70.55	118.80	141.23
08:Q4	2008	Q4	29.66	24.80	52.44	82.77	112.29
09:Q1	2009	Q1	31.26	22.74	60.86	109.99	172.75
09:Q2	2009	Q2	25.83	21.86	64.46	140.17	263.91
09:Q3	2009	Q3	24.25	22.06	70.25	137.89	256.87
09:Q4	2009	Q4	22.01	22.00	57.67	113.64	177.34
10:Q1	2010	Q1	24.06	19.35	53.11	100.67	182.30
10:Q2	2010	Q2	16.53	20.09	52.43	100.62	176.13
10:Q3	2010	Q3	17.62	16.61	60.00	115.65	179.18
10:Q4	2010	Q4	18.87	18.34	47.60	122.86	255.34
11:Q1	2011	Q1	13.01	15.93	47.96	134.53	285.79
11:Q2	2011	Q2	11.62	15.33	41.58	97.42	185.94
11:Q3	2011	Q3	12.89	15.81	41.03	93.55	128.99
11:Q4	2011	Q4	15.70	14.64	48.37	106.39	219.03
12:Q1	2012	Q1	13.03	17.11	45.91	100.25	235.50
12:Q2	2012	Q2	10.82	16.93	53.17	128.98	251.92
12:Q3	2012	Q3	15.44	21.52	60.07	145.03	278.52
12:Q4	2012	Q4	16.43	23.26	71.72	155.58	285.77
13:Q1	2013	Q1	16.00	19.45	68.38	140.57	332.36
13:Q2	2013	Q2	18.42	20.93	77.09	158.75	303.75
13:Q3	2013	Q3	16.80	24.73	78.65	149.93	278.64
13:Q4	2013	Q4	16.22	18.85	65.70	134.57	216.01
14:Q1	2014	Q1	16.19	21.03	50.64	92.05	151.94
14:Q2	2014	Q2	11.77	15.49	49.34	77.02	132.10
14:Q3	2014	Q3	16.35	15.24	61.08	100.72	143.58
14:Q4	2014	Q4	14.92	22.03	62.41	100.64	154.22
15:Q1	2015	Q1	14.97	13.93	60.19	97.45	181.95
15:Q2	2015	Q2	16.20	21.70	73.47	122.05	232.26
15:Q3	2015	Q3	15.88	23.64	73.35	88.52	287.70
15:Q4	2015	Q4	21.40	24.00	77.40	70.80	243.30
16:Q1	2016	Q1	15.40	17.90	64.40	65.20	225.70
16:Q2	2016	Q2	14.55	24.66	71.09	76.17	240.10
16:Q3	2016	Q3	15.76	23.48	78.57	76.35	282.90
16:Q4	2016	Q4	22.82	27.97	100.60	105.20	360.20
17:Q1	2017	Q1	17.72	22.75	74.15	77.65	299.10
17:Q2	2017	Q2	15.22	22.79	73.02	81.02	229.40
17:Q3	2017	Q3	18.57	23.89	84.00	78.89	274.00
17:Q4	2017	Q4	20.37	23.68	74.87	76.28	256.30
18:Q1	2018	Q1	14.94	20.95	66.88	76.42	248.70
18:Q2	2018	Q2	16.05	21.07	71.70	73.94	254.70
18:Q3	2018	Q3	14.52	23.82	73.77	79.55	253.60
18:Q4	2018	Q4	15.20	23.88	68.17	61.93	232.30
19:Q1	2019	Q1	14.30	19.24	55.57	61.21	193.70
19:Q2	2019	Q2	18.41	26.94	70.71	78.19	279.80
19:Q3	2019	Q3	18.29	23.57	78.20	86.29	321.90
19:Q4	2019	Q4	26.88	28.51	98.38	119.60	478.60
20:Q1	2020	Q1	19.26	24.05	83.96	109.10	425.30
